N-HSEA	&
STR-SOA	bố
STR-SOANK	bốc
STR-SOAJ	bối
STR-SOAN	bốn
STR-SOAG	bống
STR-SOATK	bốp
STR-SOANT	bốt
STR-HOA	bồ
STR-HOAJ	bồi
STR-HOAT	bồm
STR-HOAN	bồn
STR-HOAG	bồng
STR-HSOA	bổ
STR-HSOAJ	bổi
STR-HSOAN	bổn
STR-HSOAG	bổng
STRN-SOA	bỗ
STRN-SOAJ	bỗi
STRN-SOAG	bỗng
STRN-OA	bộ
STRN-OANK	bộc
STRN-OAJ	bội
STRN-OAN	bộn
STRN-OAG	bộng
STRN-OATK	bộp
STRN-OANT	bột
STR-SOY	bớ
STR-SOYJ	bới
STR-SOYTK	bớp
STR-SOYNT	bớt
STR-HOY	bờ
STR-HOYJ	bời
STR-HOYT	bờm
STR-HSOY	bở
STR-HSOYJ	bởi
STRN-SOY	bỡ
STRN-SOYN	bỡn
STRN-OY	bợ
STRN-OYT	bợm
STRN-OYN	bợn
STRN-OYTK	bợp
STRN-OYNT	bợt
STRN-IU	bụ
STRN-UO	bụa
STRN-IUNK	bục
STRN-IUJ	bụi
STRN-IUT	bụm
STRN-IUG	bụng
STRN-IUTK	bụp
STRN-IUNT	bụt
STR-HSIU	bủ
STR-HSUO	bủa
STR-HSIUN	bủn
STR-HSIUG	bủng
STR-SUA	bứ
STR-SEA	bứa
STR-SUANK	bức
STR-SUAG	bứng
STR-SUANT	bứt
STR-HEA	bừa
STR-HUAG	bừng
STR-HSEA	bửa
STR-HSUAG	bửng
STR-HSUAJG	bửu
STRN-SEA	bữa
STRN-UA	bự
STRN-EA	bựa
STRN-UANK	bực
STRN-UAG	bựng
STRN-UANT	bựt
K-A	ca
K-AJ	cai
K-AT	cam
K-AN	can
K-AG	cang
K-AK	canh
K-AJK	cao
K-AJG	cau
K-AJN	cay
SK-A	cha
SK-AJ	chai
SK-AN	chan
SK-AG	chang
SK-AK	chanh
SK-AJK	chao
SK-AJG	chau
SK-AJN	chay
SK-E	che
SK-EN	chen
SK-EG	cheng
SK-EJK	cheo
SK*-I	chi
SK-IE	chia
SK*-IT	chim
SK*-IK	chinh
SK*-IJG	chiu
SK-IET	chiêm
SK-IEN	chiên
SK-IEG	chiêng
SK-IEJG	chiêu
SK-SIENK	chiếc
SK-SIET	chiếm
SK-SIEN	chiến
SK-SIEG	chiếng
SK-SIETK	chiếp
SK-SIENT	chiết
SK-SIEJG	chiếu
SK-HIEN	chiền
SK-HIEG	chiềng
SK-HIEJG	chiều
SK-HSIEJG	chiểu
SKN-IEN	chiện
SK-O	cho
SK-U	choa
SK-UJ	choai
SK-UG	choang
SK-AY	choe
SK-AYN	choen
SK-OJ	choi
SK-ON	chon
SK-OG	chong
SK-HUJ	choài
SK-HUG	choàng
SK-HUK	choành
SK-SU	choá
SK-SUNK	choác
SK-SUGK	choách
SK-SUJ	choái
SK-SUN	choán
SK-SUG	choáng
SKN-SUJ	choãi
SK-HAY	choè
SK-HAYN	choèn
SK-SAY	choé
SK-SAYNT	choét
SKN-UNK	choạc
SKN-UGK	choạch
SKN-UJ	choại
SKN-UG	choạng
SK-HSUG	choảng
SK-S*UNT	choắt
SKN-AY	choẹ
SKN-AYNT	choẹt
SK-IU	chu
SK-UO	chua
SK-IUJ	chui
SK-IUT	chum
SK-IUN	chun
SK-IUG	chung
SK-EYN	chuyên
SK-SEYN	chuyến
SK-HEYN	chuyền
SK-HSEYN	chuyển
SKN-EYN	chuyện
SK-UOJ	chuôi
SK-UOT	chuôm
SK-UOG	chuông
SK-HS*YN	chuẩn
SK-SUEK	chuếnh
SKN-UEGK	chuệch
SKN-UEK	chuệnh
